include,done,id,class,species,species by,species syn,species syn by,species alt,new name,TCM,historic,POWO,IPNI,TPL,GBIF,TROP,EOL,WFO,NCBI,NCBI id,family,Wyk name,Amar name,Hu name,other name,plant part used,region of origin,country code,lat,lon,source,macroarea,area,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,Taste/Smell,Heat,Major uses,Culinary,Medicinal,pharmaceutical,Pharma en,TCM2,ECMM,Hu zh,Hu en,Köhler,Wyk,Hu,Words,Notes,Britannica,English,En alt,Plant name,Chinese WN,Chinese Wiki,Chinese simp.,FOC,Chinese,Ch transliteration,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Column1,Indonesian,Malay,Persian,Column2
out,,,,Allium × proliferum,,,,,,,,,,,,,,,,,Alliaceae,Egyptian onion; top onion; tree onion,,,,bulblet; leaf,cultigen,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium altaicum,,,,,,,,,,,,,,,,,Alliaceae,Altai onion,,,,bulb,C As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium ameloprasum,,,,,,,,,,,,,,,,,Alliaceae,leeks,,,,bulb; leaf,Med; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium cepa,,,,,,,,,,,,,,,,,Alliaceae,onion,,,,bulb,W As; C As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium chinense,,,,,,,,,,,,,,,,,Alliaceae,Chinese onion; oriental onion; rakkyo,,,,bulb,China,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium fistulosum,,,,,,,,,,,,,,,,,Alliaceae,Welsh onion; Japanese bunching onion,,,,bulb; leaf,China,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium giganteum,,,,,,,,,,,,,,,,,Alliaceae,giant onion,,,,bulb,C As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium kurrat,,,,,,,,,,,,,,,,,Alliaceae,kurrat; salad leek; Egypt leek,,,,leaf,Med; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium moly,,,,,,,,,,,,,,,,,Alliaceae,lily leek; moly; yellow onion,,,,bulb,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium neopolitanum,,,,,,,,,,,,,,,,,Alliaceae,daffodil garlic; Naples garlic; false garlic,,,,bulb; leaf,Med; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium obliquum,,,,,,,,,,,,,,,,,Alliaceae,oblique onion,,,,bulb,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium oleraceum,,,,,,,,,,,,,,,,,Alliaceae,field garlic,,,,bulb; leaf,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium oschaninii,,,,,,,,,,,,,,,,,Alliaceae,Oschanin onion,,,,bulb,C As; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium paradoxum,,,,,,,,,,,,,,,,,Alliaceae,few-flowered leek,,,,bulb; leaf,Eur; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium pskemense,,,,,,,,,,,,,,,,,Alliaceae,Russian onion,,,,bulb,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium ramosum,,,,,,,,,,,,,,,,,Alliaceae,Chinese leek,,,,bulb; leaf,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium schorodoprasum,,,,,,,,,,,,,,,,,Alliaceae,sand leek; Spanish garlic; rocambole,,,,bulblet; leaf,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium senescens,,,,,,,,,,,,,,,,,Alliaceae,mountain leek,,,,leaf,C Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium sphaerocephalon,,,,,,,,,,,,,,,,,Alliaceae,ball leek,,,,leaf,Med; Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium stipitatum,,,,,,,,,,,,,,,,,Alliaceae,drumstick onion,,,,bulb,C As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium tricoccum,,,,,,,,,,,,,,,,,Alliaceae,ramp; wild leek; wood leek,,,,bulb; leaf,N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium tuberosum,,,,,,,,,,,,,,,,,Alliaceae,garlic chive; Chinese chive,,,,leaf,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium ursinum,,,,,,,,,,,,,,,,,Alliaceae,bear’s garlic; ramsons; wood garlic,,,,leaf,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium vavilovii,,,,,,,,,,,,,,,,,Alliaceae,Vavilov’s leek,,,,bulb; leaf,C As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium victoralis,,,,,,,,,,,,,,,,,Alliaceae,alpine leek,,,,leek; bulb,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Allium vineale,,,,,,,,,,,,,,,,,Alliaceae,crow garlic; false garlic; field garlic,,,,leaf,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Alpinia calcarata,,,,,,,,,,,,,,,,,Zingiberaceae,Indian ginger; snap ginger,,,,rhizome,As; Pac; E Ind,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Alpinia conchigera,,,,,,,,,,,,,,,,,Zingiberaceae,mussel galangal,,,,rhizome,SE As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Alpinia nigra,,,,,,,,,,,,,,,,,Zingiberaceae,black galangal,,,,rhizome,Pac; SE As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Alpinia purpurata,,,,,,,,,,,,,,,,,Zingiberaceae,red ginger,,,,leaf,As; Pac; Malay,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Alpinia zerumbet,,,,,,,,,,,,,,,,,Zingiberaceae,shell ginger,,,,leaf; rhizome,As; Pac; E As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Alstonia scholaris,,,,,,,,,,,,,,,,,Apocynaceae,devil tree; dita bark; palmira alstonia,,,,bark,Indomal; Aus,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Alyxia lucida,,,,,,,,,,,,,,,,,Apocynaceae,alyxia cinnamon,,,,bark,Indomal,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amelanchier alnifolia,,,,,,,,,,,,,,,,,Rosaceae,alderleaf berry; Pacific berry; saskatoon; western serviceberry,,,,fruit,N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Ammi visnaga,,,,,,,,,,,,,,,,,Apiaceae,khella; visnaga; lesser bishop’s weed,,,,fruit,S Eur; NE Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Ammodaucus leucotrichus,,,,,,,,,,,,,,,,,Apiaceae,cafoun,,,,fruit; seed,Canary Is; N Afr; W Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum aromaticum,,,,,,,,,,,,,,,,,Zingiberaceae,Bengal cardamom; Nepal cardamom; large cardamom,,,,fruit & seed,N Ind; Bangl; Nepal,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum compactum,,,,,,,,,,,,,,,,,Zingiberaceae,Indonesian cardamom,,,,fruit & seed,SE As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum costatum,,,,,,,,,,,,,,,,,Zingiberaceae,Chinese black cardamom,,,,fruit & seed,E As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum globosum,,,,,,,,,,,,,,,,,Zingiberaceae,round Chinese cardamom,,,,fruit & seed,China,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum gracile,,,,,,,,,,,,,,,,,Zingiberaceae,slender cardamom,,,,leaf,SE As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum kepulaga,,,,,,,,,,,,,,,,,Zingiberaceae,round cardamom,,,,fruit & seed,Trop As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum krervanh,,,,,,,,,,,,,,,,,Zingiberaceae,Cambodian cardamom; krervanh,,,,fruit & seed,Trop As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum maximum,,,,,,,,,,,,,,,,,Zingiberaceae,Java cardamom,,,,fruit & seed,Trop As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum ochreum,,,,,,,,,,,,,,,,,Zingiberaceae,tepus batu,,,,fruit & seed,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum testaceum,,,,,,,,,,,,,,,,,Zingiberaceae,ka tepus,,,,fruit & seed,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum villosum,,,,,,,,,,,,,,,,,Zingiberaceae,Malabar cardamom; Tavoy cardamom; wild Siamese cardamom,,,,fruit & seed,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum xanthioides,,,,,,,,,,,,,,,,,Zingiberaceae,bastard Siamese cardamom; wild Siamese cardamom,,,,fruit & seed,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Amomum xanthophlebium,,,,,,,,,,,,,,,,,Zingiberaceae,elach,,,,flower,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Anacyclus pyrethrum,,,,,,,,,,,,,,,,,Asteraceae,Roman pellitory; Spanish pellitory,,,,root,Eur; N Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Angelica acutiloba,,,,,,,,,,,,,,,,,Apiaceae,dong dang gui,,,,root; leaf,Eur; E As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Angelica atropurpurea,,,,,,,,,,,,,,,,,Apiaceae,American angelica,,,,root; fruit,N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Angelica japonica,,,,,,,,,,,,,,,,,Apiaceae,Japanese angelica,,,,root; fruit,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Angelica polymorpha var. sinensis,,,,,,,,,,,,,,,,,Apiaceae,Chinese angelica; dang gui,,,,root,As; E As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Angelica sylvestris,,,,,,,,,,,,,,,,,Apiaceae,wild angelica,,,,root,Eur; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aniba canellila,,,,,,,,,,,,,,,,,Lauraceae,Oriniko cinnamon,,,,bark; leaf,S Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aniba rosaedora,,,,,,,,,,,,,,,,,Lauraceae,rose wood,,,,wood,N Am; S Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Anthoxanthum odoratum,,,,,,,,,,,,,,,,,Poaceae,scented vernal grass; sweet vernal grass,,,,leaf,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aristolochia serpentaria,,,,,,,,,,,,,,,,,Aristolochiaceae,Virginia serpentary; Virginia snakeroot,,,,rhizome,N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Arnica chamissonis,,,,,,,,,,,,,,,,,Asteraceae,leafy leopardsbane,,,,flower,N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Arnica montana,,,,,,,,,,,,,,,,,Asteraceae,arnica; European arnica; mountain arnica,,,,flower,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artabotrys hexapetalus,,,,,,,,,,,,,,,,,Annonaceae,tail grape,,,,flower,S As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia abrotanum,,,,,,,,,,,,,,,,,Asteraceae,southernwood,,,,leaves,Eur?,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia dracunculoides,,,,,,,,,,,,,,,,,Asteraceae,Russian tarragon,,,,leaves,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia genipi,,,,,,,,,,,,,,,,,Asteraceae,genépi noir,,,,leaf,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia glacialis,,,,,,,,,,,,,,,,,Asteraceae,glacier wormwood,,,,leaf,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia indica,,,,,,,,,,,,,,,,,Asteraceae,Indian mugwort,,,,leaf,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia judaica,,,,,,,,,,,,,,,,,Asteraceae,graines à vers; zédoire,,,,herb,N Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia ludoviciana,,,,,,,,,,,,,,,,,Asteraceae,cudweed; western mugwort; white sage,,,,herb,N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia maritima,,,,,,,,,,,,,,,,,Asteraceae,sea wormwood,,,,herb,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia mexicana,,,,,,,,,,,,,,,,,Asteraceae,Mexican mugwort,,,,herb,N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia mutellina,,,,,,,,,,,,,,,,,Asteraceae,alpine wormwood; white genipi,,,,herb,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia pallens,,,,,,,,,,,,,,,,,Asteraceae,davana,,,,herb,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia pontica,,,,,,,,,,,,,,,,,Asteraceae,Roman wormwood; small absinth,,,,leaf; herb,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia princeps,,,,,,,,,,,,,,,,,Asteraceae,Japanese mugwort,,,,leaf,E As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia rehan,,,,,,,,,,,,,,,,,Asteraceae,rehan; Ethiopian wormwood,,,,leaf; herb,Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artemisia vulgaris,,,,,,,,,,,,,,,,,Asteraceae,mugwort; motherwort; sagebrush,,,,leaves,Eur; As; N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Artocarpus lakoochus,,,,,,,,,,,,,,,,,Moraceae,monkey jack,,,,male flowers,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Averrhoa bilimbi,,,,,,,,,,,,,,,,,Oxalidaceae,bilimbi; cucumber tree; tree sorrel,,,,fruit,Trop As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Backhousia citriodora,,,,,,,,,,,,,,,,,Myrtaceae,Australian lemon myrtle; citron myrtle,,,,leaf,Aus,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Barbarea verna,,,,,,,,,,,,,,,,,Brassicaceae,land cress,,,,leaf,Med; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Berberis vulgaris,,,,,,,,,,,,,,,,,Berberidaceae,barberry; zereshk; sereshk,,,,fruit,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Boesenbergia rotunda (=Boesenbergia pandurata),,,,,,,,,,,,,,,,,Zingiberaceae,fingerroot; Chinese keys; krachai,,,,rhizome; root,Trop As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Buchanaria lanzan,,,,,,,,,,,,,,,,,Anacardiaceae,charoli; chironji,,,,seed,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Bunium roxburghianum,,,,,,,,,,,,,,,,,Apiaceae,ajmud; radhuni,,,,fruit,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Calamintha cretica,,,,,,,,,,,,,,,,,Lamiaceae,dwarf calamint,,,,herb,Med,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Calamintha grandiflora,,,,,,,,,,,,,,,,,Lamiaceae,showy calamint; showy savory; large flowered calamint,,,,herb,S Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Calamintha menthifolia,,,,,,,,,,,,,,,,,Lamiaceae,calamint,,,,herb,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Calamintha nepeta,,,,,,,,,,,,,,,,,Lamiaceae,common calamint; lesser calamint,,,,herb,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Calendula officinalis,,,,,,,,,,,,,,,,,Asteraceae,pot marigold; marigold flower; calendula,,,,flower,S Eur?,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Canarium pimela,,,,,,,,,,,,,,,,,Burseraceae,Chinese black olive; Chinese black canarium,,,,seed,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Canella winterana,,,,,,,,,,,,,,,,,Canellaceae,winter cinnamon; white cinnamon,,,,bark,N & C Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Capparis sicula,,,,,,,,,,,,,,,,,Capparaceae,Sicili caper,,,,flower bud; unripe fruit,Med,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Capsicum chinense,,,,,,,,,,,,,,,,,Solanaceae,yellow lantern chilli; habanero; Scotch bonnet; Chinese chilli; bonnet pepper,,,,fruit,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Capsicum pubescens,,,,,,,,,,,,,,,,,Solanaceae,rocoto; tree chilli,,,, fruit,S Am (Andes),,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Centauria benedicta,,Cnicus benedictus,,,,,,,,,,,,,,,Asteraceae,blessed thistle; holy thistle,,,,herb,Eur; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Centaurium erythraea,,,,,,,,,,,,,,,,,Gentianaceae,centaury; feverwort; pink centaury,,,,herb,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Ceratonia siliqua,,,,,,,,,,,,,,,,,Leguminosae,carob; locust bean; St John’s bread,,,,fruit,Eur; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Chamaemelum nobile,,,,,,,,,,,,,,,,,Asteraceae,Roman chamomile,,,,flower,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Chenopodium ambrosioides,,,,,,,,,,,,,,,,,Chenopodiaceae,blue weed; goose foot; lamb’s quarters; pigweed,,,,leaf; herb,C Am; S Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
